player_id,understat_player,player_code,match_score,matched_name,matched_from,team_norm
8489,Jorge Cuenca,246301,0.9425,Jorge Cuenca Barreno,full_name,fulham
9802,Nico González,465694,0.9414285714285715,Nico González Iglesias,full_name,man city
10717,Rodrigo Muniz,244042,0.9414285714285715,Rodrigo Muniz Carvalho,full_name,fulham
7281,Diogo Dalot,216051,0.9364516129032259,Diogo Dalot Teixeira,full_name,man utd
13364,Diego Gómez,514254,0.9364516129032259,Diego Gómez Amarilla,full_name,brighton
1257,Alisson,116535,0.905,Alisson Becker,full_name,liverpool
8327,Bruno Guimarães,208706,0.9028260869565218,Bruno Guimarães Rodriguez Moura,full_name,newcastle
13779,Jair,575458,0.8907142857142858,Jair Paula da Cunha Filho,web_name,nott m forest
13834,Ao Tanaka,248056,0.8300000000000001,Tanaka Ao,full_name,leeds
8808,Wataru Endo,158983,0.8118181818181819,Endo Wataru,full_name,liverpool
10806,Kaoru Mitoma,451340,0.805,Mitoma Kaoru,full_name,brighton
1228,Bruno Fernandes,141746,0.8016216216216216,Bruno Borges Fernandes,full_name,man utd
6382,Pedro Neto,247632,0.7953846153846155,Pedro Lomba Neto,full_name,chelsea
9021,Pape Sarr,482442,0.7925,Pape Matar Sarr,full_name,spurs
10805,Levi Colwill,460028,0.7925,Levi Samuels Colwill,full_name,chelsea
7943,Igor Julio,223434,0.7890000000000001,Igor Julio dos Santos de Paulo,full_name,brighton
11231,Ben Doak,496208,0.7843478260869565,Ben Gannon-Doak,full_name,bournemouth
14446,Alysson Edward,653481,0.7836831168831169,Alysson Edward Franco da Rocha dos Santos,full_name,aston villa
5543,Gabriel Jesus,205651,0.7576315789473684,Gabriel Fernando de Jesus,full_name,arsenal
11735,Sávio,510281,0.7545000000000002,Sávio Moreira de Oliveira,full_name,man city
9501,Fabio Carvalho,244858,0.7504545454545455,Fábio Freitas Gouveia Carvalho,full_name,brentford
2496,Rodri,220566,0.7457972972972974,Rodrigo 'Rodri' Hernandez Cascante,full_name,man city
11592,Nico O&#039;Reilly,472769,0.6925,Nico O'Reilly,full_name,man city
13206,Matt O&#039;Riley,219249,0.6910714285714286,Matt O'Riley,full_name,brighton
12014,Jake O&#039;Brien,512462,0.6910714285714286,Jake O'Brien,full_name,everton
14099,Luke O&#039;Nien,167512,0.6894230769230769,Luke O'Nien,full_name,sunderland
7080,Matheus Cunha,430871,0.6709333333333335,Matheus Santos Carneiro da Cunha,full_name,man utd
8961,Rúben Dias,171314,0.6477142857142858,Rúben dos Santos Gato Alves Dias,full_name,man city
11504,Eli Junior Kroupi,560262,0.6466666666666667,Junior Kroupi,full_name,bournemouth
8056,Arnaud Kalimuendo Muinga,465680,0.6410569105691057,Arnaud Kalimuendo,full_name,nott m forest
8831,Iyenoma Destiny Udogie,487053,0.6333333333333334,Destiny Udogie,full_name,spurs
8127,Amad Diallo Traore,493250,0.6304597701149426,Amad Diallo,full_name,man utd
13715,Dan Ballard,223827,0.5416666666666667,Daniel Ballard,web_name,sunderland
7298,Ben White,198869,0.5321428571428571,Benjamin White,web_name,arsenal
12032,Djordje Petrovic,457569,0.525,Đorđe Petrović,web_name,bournemouth
9512,Valentino Livramento,441191,0.525,Tino Livramento,web_name,newcastle
8094,Mathis Cherki,466052,0.5197368421052632,Rayan Cherki,web_name,man city
11763,Abduqodir Khusanov,578153,0.5173076923076924,Abdukodir Khusanov,web_name,man city
987,Joseph Gomez,171287,0.5132352941176471,Joe Gomez,web_name,liverpool
12410,Joshua King,577725,0.505,Josh King,web_name,fulham
8864,Matthew Cash,199796,0.5,Matty Cash,web_name,aston villa
12203,Treymaurice Nyoni,591386,0.4931818181818182,Trey Nyoni,web_name,liverpool
11772,Yehor Yarmolyuk,508395,0.49,Yehor Yarmoliuk,full_name,brentford
13066,Ferdi Kadioglu,231416,0.4892857142857143,Ferdi Kadıoğlu,full_name,brighton
9024,Yeremi Pino,488024,1.0,Yéremy Pino Santos,web_name,crystal palace
