pos_group,date,player_team,npg,key_passes,shots,goals,xG,xA,xA_sum,npxG,npxG_sum,assists,xGChain,xGBuildup,opponent,npxG_share,xA_share,team_XG_avg,team_Rolling_Threat,Team_code,opp_XGC_avg,opp_Rolling_Threat_Against,xA2,Adjusted_XG,Adjusted_XA,Rolling_Adjusted_XG,Rolling_Adjusted_XA,Rolling_XG_Share,Rolling_XA_Share,Rolling_Adjusted_XG2,Rolling_Adjusted_XA2,XGIndex,XAIndex
FW,2025-04-01,Wolves,1.0,3.0,2.0,1.0,0.1480227708816528,0.7812532782554626,0.7812532782554626,0.1480227708816528,0.1480227708816528,0.0,0.9292760491371156,0.0,West Ham,0.13412900070968478,0.8484416469614763,0.976834383222416,1.0691156442439662,39,1.4600126638500828,1.5651382262858844,0.3906266391277313,0.09786141336903684,0.25825266462009394,0.22141898701081575,0.09057908593301733,0.24729147959732944,0.17085187924065554,0.11757288166362677,0.035171838970015926,0.16949593433722127,0.06287546245151662
FW,2025-04-05,Wolves,1.0,0.0,3.0,1.0,1.1426042318344116,0.0,0.0,1.1426042318344116,1.1426042318344116,0.0,1.183561086654663,0.0409567803144454,Ipswich,0.4065223068619954,0.0,0.9789064718102412,1.0167261887134706,39,2.182322310593661,1.6616680199569305,0.0,0.5944886087529525,0.0,0.2569494271767335,0.07925670019139017,0.2624563202892024,0.15458027169392644,0.1289241770110601,0.031791833747305334,0.1929368020938968,0.05552426696934775
FW,2025-04-13,Wolves,1.0,0.0,4.0,1.0,1.3495734930038452,0.0,0.0,1.3495734930038452,1.3495734930038452,0.0,1.3495734930038452,0.0,Spurs,0.6052515705953962,0.0,1.0532814718102412,1.1858854151242868,39,1.4082199711706345,1.5180099868085415,0.0,0.9223974276689085,0.0,0.32032542722360735,0.06934961266746639,0.29510348698503036,0.13985834105640962,0.14595112003221009,0.02946607833904388,0.23313827362790873,0.04940784550325514
FW,2025-04-20,Wolves,0.0,0.0,1.0,0.0,0.0617455206811428,0.0,0.0,0.0617455206811428,0.0617455206811428,0.0,0.0,0.0,Man Utd,0.3287584760543972,0.0,1.133281471810241,1.218899738233751,39,1.4258076146899334,1.3078931273625878,0.0,0.045173577144938644,0.0,0.294120489120877,0.06068091108403309,0.2983087240392558,0.12653849905103728,0.13823513176107077,0.02745229233352333,0.2161778104409739,0.044066601708778214
FW,2025-04-26,Wolves,1.0,0.0,4.0,1.0,1.2578810453414917,0.0,0.0,1.2578810453414917,1.2578810453414917,0.0,1.312976598739624,0.055095475167036,Leicester,0.48818335872024626,0.0,1.1120412992152358,1.112787270954532,39,2.189283554103663,1.9055781597342136,0.0,0.6143704638868269,0.0,0.32462048671763416,0.05309579719852896,0.3163920225803025,0.11448721342712898,0.1495864271085041,0.024641958812682586,0.2371034569130691,0.038868878005605775
FW,2025-05-02,Wolves,0.0,0.0,2.0,0.0,0.1222589164972305,0.0,0.0,0.1222589164972305,0.1222589164972305,0.0,0.1932366639375686,0.0709777474403381,Man City,0.18141054028799328,0.0,1.1647912992152358,1.1924388620852155,39,0.8978382456666048,1.0022312152941766,0.0,0.1286888916528447,0.0,0.3059603348067019,0.046458822548712836,0.3035366433143683,0.10358366929121193,0.1489152566430687,0.023471422977726798,0.2274377957248853,0.034965122763219815
FW,2025-05-10,Wolves,0.0,0.0,2.0,0.0,0.4740495979785919,0.0,0.0,0.4740495979785919,0.4740495979785919,0.0,0.1023306027054786,0.0,Brighton,0.6458877759246677,0.0,1.1194500995113643,1.0958840043245637,39,1.4090608220748857,1.3817200924699662,0.0,0.3397254119862752,0.0,0.30917605644285173,0.040651469730123735,0.33614151308677775,0.09371855793014414,0.15551178083928185,0.02183383299564056,0.2323439186410668,0.031242651362882148
FW,2025-05-20,Wolves,1.0,1.0,1.0,1.0,0.4778583645820617,0.4335485994815826,0.4335485994815826,0.4778583645820617,0.4778583645820617,1.0,0.0,0.0,Crystal Palace,0.3344337588905723,0.41046919975334395,1.0620785218637767,1.0863985037839932,39,1.089842277513534,1.2394502864009382,0.7167742997407913,0.41030343030761324,0.6154437710789087,0.31880723490616236,0.11250050739872186,0.3359788698299963,0.12388528572282984,0.16686307618671517,0.031191733918158097,0.24283515554643875,0.07184612065843998
FW,2025-05-25,Wolves,0.0,3.0,2.0,0.0,0.447430282831192,0.1439310610294342,0.1439310610294342,0.447430282831192,0.447430282831192,0.0,0.6302374005317688,0.0388760305941104,Brentford,0.4034944057551523,0.21880518433309762,1.1125883978824571,1.1318486908109942,39,1.2804093100614782,1.4228690894418037,0.0719655305147171,0.33102789776547303,0.053243151373488215,0.3199711075594301,0.10509333789556766,0.34240892087048735,0.13292527606666485,0.17213753733673337,0.03174589297323224,0.24605432244808173,0.06841961543439995
FW,2025-08-16,Wolves,0.0,0.0,4.0,0.0,0.3175045251846313,0.0,0.0,0.3175045251846313,0.3175045251846313,0.0,0.2098279148340225,0.0,Man City,0.6112481775329589,0.0,1.1122359666441397,1.1703676044596198,39,0.8240870275408142,0.897738561504228,0.0,0.36879986823836836,0.0,0.324621465719329,0.0919566706586217,0.36801265960024654,0.12026572596507772,0.1831677603331122,0.03037937070152233,0.2538946130262206,0.061168020680072016
FW,2025-08-23,Wolves,0.0,0.0,1.0,0.0,0.0587666518986225,0.0,0.0,0.0587666518986225,0.0587666518986225,0.0,0.0587666518986225,0.0,Bournemouth,0.15739647253739494,0.0,1.0734744577224506,1.1428216539021674,39,1.3514517661672802,1.3266848113753795,0.0,0.04388622476643383,0.0,0.29788477610476755,0.080462086826294,0.3479539751180702,0.10881184730173699,0.173098364602067,0.02834536810456046,0.23549157035341728,0.054403727465427223
FW,2025-08-30,Wolves,1.0,0.0,1.0,1.0,0.2901219427585602,0.0,0.0,0.2901219427585602,0.2901219427585602,0.0,0.2901219427585602,0.0,Everton,0.3067053461730014,0.0,1.0212366710057588,1.0649689471643964,39,0.9527798081104776,1.3983621130411288,0.0,0.24679236940019034,0.0,0.2930188326090935,0.07040432597300725,0.3440255342661589,0.09844881422538108,0.1752635125346089,0.026679268524032816,0.23414117257185119,0.048541797248520036
GK,2022-08-06,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174557995051145,0.0174557995051145,Leeds,0.0,0.0,0.7980653083028082,1.5,39,1.324799680603949,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005768579798162001,0.0,0.00028842898990810007
