,name,position,value,team_code,selected,web_name,DefCon,Risk_share_avg,Point_STD,offset,id,0,38
115,Callum_Olusesi,MID,4.3,6,0.002,Olusesi,12.86,0.1334295763085331,3.0,1,595,0,0.2638803159509485
116,Callum_Wilson,FWD,5.8,21,0.005,Wilson,2.95,0.322221351761302,1.92,1,671,0,1.2706133313149772
117,Calvin_Bassey,DEF,4.4,54,0.008,Bassey,7.33,0.4663775614054362,2.0,1,318,0,3.0466357686805363
118,Calvin_Ramsay,DEF,3.7,14,0.003,Ramsay,0.0,0.3995006777767867,3.0,1,380,0,0.0
119,Caoimhín_Kelleher,GKP,4.8,94,0.122,Kelleher,0.0,0.3212076078181796,2.38,1,101,0,2.398756682957271
120,Carl_Rushworth,GKP,4.0,36,0.0,Rushworth,0.0,0.3307290958704797,3.0,1,141,0,0.0
121,Carlos_Alcaraz Durán,MID,5.2,11,0.001,Alcaraz,9.09,0.3248118095438915,1.8,1,301,0,0.9462625805148874
122,Carlos_Baleba,MID,4.5,36,0.015,Baleba,11.15,0.2509488754732471,1.04,1,167,0,2.3826427458854904
123,Carlos_Henrique Casimiro,MID,5.9,1,0.052000000000000005,Casemiro,12.41,0.3151584065264766,2.03,1,457,0,3.973482205204326
124,Carlos_Miguel dos Santos Pereira,GKP,4.0,17,0.001,C.Miguel,0.0,0.3264812397128602,3.0,1,503,0,0.0
125,Chadi_Riad Dnanou,DEF,4.0,31,0.001,Chadi Riad,6.46,0.5191492468075766,1.1,1,262,0,0.6901911357182318
126,Charalampos_Kostoulas,FWD,4.8,36,0.003,Kostoulas,11.25,0.3021735854713174,1.25,1,181,0,0.8032083028082513
127,Charlie_Crew,MID,4.5,2,0.0,Crew,0.0,0.1265402981550767,3.0,1,359,0,0.0
128,Charlie_Gray,MID,4.5,43,0.0,Gray,0.0,0.3938997608802093,3.0,1,763,0,0.0
129,Charlie_Stevens,MID,4.5,91,0.0,Stevens,0.0,0.1296702596397283,3.0,1,799,0,0.0
130,Charlie_Tasker,DEF,3.8,36,0.002,Tasker,0.0,0.4102370853934545,3.0,1,156,0,0.0
131,Cheick_Doucouré,MID,4.9,31,0.0,Doucouré,0.0,0.1596270587324947,0.66,1,268,0,0.0
132,Chemsdine_Talbi,MID,4.9,56,0.002,Talbi,5.33,0.3346967277189618,2.19,1,553,0,2.558864512597792
133,Chido_Obi,FWD,4.2,1,0.013999999999999999,Obi,0.0,0.3046607841692512,3.0,1,467,0,0.4813565922042133
134,Chris_Mepham,DEF,4.0,91,0.001,Mepham,0.0,0.5108498576892043,1.6,1,79,0,0.0
135,Chris_Richards,DEF,4.4,31,0.025,Richards,9.91,0.3863648894565757,2.0,1,261,0,2.2878772914404113
136,Chris_Rigg,MID,4.7,56,0.001,Rigg,6.78,0.2594303600594012,1.33,1,551,0,1.1639369189853637
137,Chris_Wood,FWD,7.1,17,0.046,Wood,2.8,0.4001090235974401,1.82,1,525,0,2.86739985186812
138,Christantus_Uche,FWD,5.5,31,0.001,Uche,7.36,0.0564367848386176,0.55,1,732,0,0.20102926710810878
139,Christian_Nørgaard,MID,5.1,3,0.001,Nørgaard,17.68,0.270966070578096,2.1,1,24,0,0.310402395945446
140,Christopher_Nkunku,MID,5.9,8,0.001,Nkunku,0.0,0.2842013159256026,1.59,1,240,0,0.0
141,Christos_Mandas,GKP,4.0,91,0.0,Mandas,0.0,0.3328865061824074,3.0,1,806,0,0.0
142,Claudio_Echeverri,MID,5.4,43,0.0,Echeverri,0.0,0.1612164936155191,3.0,1,425,0,0.0
143,Coby_Ebere,MID,4.4,11,0.0,Ebere,0.0,0.272564405824354,3.0,1,307,0,0.0
144,Cody_Gakpo,MID,7.3,14,0.055999999999999994,Gakpo,5.03,0.5365161393923784,1.56,1,384,0,4.68999158348796
145,Cole_Palmer,MID,10.3,8,0.125,Palmer,6.47,0.5037915781181982,2.38,1,235,0,4.463701950709728
146,Connor_Roberts,DEF,4.3,90,0.0,Roberts,0.0,0.5479635489055655,0.86,1,186,0,0.0
147,Conor_Bradley,DEF,4.9,14,0.001,Bradley,6.3,0.4467697183828598,2.1,1,375,0,0.0
148,Conor_Gallagher,MID,5.0,6,0.002,Gallagher,9.47,0.3252029668902795,1.95,1,796,0,3.5039367515910804
149,Conor_McManus,DEF,4.0,94,0.0,McManus,0.0,0.4475788276272839,3.0,1,824,0,0.0
150,Cristhian_Mosquera,DEF,5.3,3,0.002,Mosquera,8.54,0.4463786322553367,1.27,1,662,0,1.966371597770645
151,Cristian_Romero,DEF,5.0,6,0.028999999999999998,Romero,9.49,0.3744944014285371,2.87,1,569,0,0.0
152,Crysencio_Summerville,MID,5.4,21,0.013000000000000001,Summerville,7.87,0.432808799774818,2.2,1,615,0,4.1945919366426985
153,Curtis_Jones,MID,5.4,14,0.001,C.Jones,11.1,0.332838518889535,1.3,1,388,0,3.519259349362219
154,Daichi_Kamada,MID,5.0,31,0.001,Kamada,9.85,0.2074501492933996,1.16,1,271,0,2.0294000550189613
155,Dan_Burn,DEF,5.0,4,0.035,Burn,9.38,0.4944937542061464,2.13,1,476,0,3.435191980246929
156,Dan_Ndoye,MID,5.5,17,0.006999999999999999,Ndoye,7.4,0.2243988406178241,1.57,1,669,0,0.1552723799403472
157,Dan_Neil,MID,4.8,56,0.0,Neil,13.85,0.1197067173588081,3.0,1,549,0,0.0
158,Dane_Scarlett,FWD,4.3,6,0.005,Scarlett,12.86,0.075685750938617,3.0,1,599,0,0.0
159,Dango_Ouattara,MID,5.6,94,0.016,O.Dango,7.35,0.4488456983152641,2.61,1,83,0,3.8573811496460024
160,Daniel_Adu-Adjei,FWD,4.4,91,0.001,Adu-Adjei,0.0,0.0853975332190225,3.0,1,99,0,0.0
161,Daniel_Ballard,DEF,4.6,56,0.025,Ballard,11.08,0.3238377947943736,3.0,1,531,0,0.0
162,Daniel_Bentley,GKP,3.9,39,0.005,Bentley,0.0,0.3747277645130937,2.25,1,629,0,3.1366529719432332
163,Daniel_James,MID,5.2,2,0.001,James,5.81,0.29925506080344,1.38,1,353,0,0.6913589934215553
164,Daniel_Muñoz,DEF,5.9,31,0.095,Muñoz,7.49,0.5638644083451256,2.38,1,256,0,2.637560316655754
165,Danny_Imray,DEF,4.0,31,0.0,Imray,0.0,0.4028764026018378,3.0,1,798,0,0.0
166,Danny_Welbeck,FWD,6.4,36,0.08900000000000001,Welbeck,4.56,0.4733166174683806,2.34,1,178,0,3.4490940063614564
167,Darko_Churlinov,MID,4.9,90,0.0,Churlinov,0.0,0.1168785378195417,3.0,1,204,0,0.0
168,Darko_Gyabi,MID,4.5,2,0.0,Gyabi,0.0,0.1265402981550767,3.0,1,361,0,0.0
169,Darwin_Núñez Ribeiro,FWD,6.5,14,0.001,Darwin,0.0,0.290228250832594,1.71,1,397,0,0.0
170,David_Brooks,MID,5.0,91,0.002,Brooks,7.12,0.400861610926697,1.82,1,86,0,1.4308498573282433
171,David_Mota Veiga Teixeira do Carmo,DEF,4.5,17,0.0,David Carmo,0.0,0.4553378708681219,3.0,1,509,0,0.0
172,David_Møller Wolfe,DEF,4.2,39,0.001,Møller Wolfe,4.09,0.4480478171158444,1.05,1,682,0,1.1563054942883038
173,David_Ozoh,MID,4.5,31,0.0,Ozoh,0.0,0.093595907308005,0.34,1,280,0,0.0
174,David_Raya Martin,GKP,6.2,3,0.365,Raya,0.0,0.4614651747309466,2.08,1,1,0,3.4930166497056216
175,Dean_Benamar,DEF,4.0,31,0.0,Benamar,0.0,0.4028764026018378,3.0,1,773,0,0.0
176,Dean_Henderson,GKP,5.1,31,0.092,Henderson,0.0,0.3228612744973756,1.91,1,253,0,2.554153878262796
177,Declan_Rice,MID,7.2,3,0.242,Rice,10.94,0.3367233657717453,2.05,1,21,0,4.5493906149524665
178,Dejan_Kulusevski,MID,6.4,6,0.0,Kulusevski,0.0,0.210273944101246,2.08,1,583,0,0.0
179,Dennis_Cirkin,DEF,4.0,56,0.0,Cirkin,7.9,0.4111122136283473,2.59,1,535,0,0.14579910941419583
180,Dermot_Mee,GKP,3.9,1,0.001,Mee,0.0,0.326420626757716,3.0,1,435,0,0.0
181,Destiny_Udogie,DEF,4.3,6,0.003,Udogie,4.7,0.5335395682811517,0.95,1,574,0,2.2553321193933167
182,Diego_Coppola,DEF,4.2,36,0.0,Coppola,8.39,0.3746089417113937,2.03,1,144,0,0.0
183,Diego_Gómez Amarilla,MID,4.9,36,0.004,Gomez,10.01,0.345616809418547,2.79,1,169,0,2.191684284920403
184,Diego_León Blanco,DEF,4.1,1,0.001,D.Leon,0.0,0.4059420501379305,3.0,1,439,0,0.0
185,Dilane_Bakwa,MID,5.9,17,0.0,Bakwa,5.74,0.2827729676204036,1.38,1,734,0,1.275698844915976
186,Diogo_Dalot Teixeira,DEF,4.5,1,0.039,Dalot,6.21,0.5317635234173349,2.53,1,440,0,2.735673095361514
187,Divine_Mukasa,MID,4.4,43,0.0,Mukasa,3.6,0.1612164936155191,3.0,1,739,0,0.0
188,Djed_Spence,DEF,4.1,6,0.009000000000000001,Spence,5.19,0.5096368832181367,1.86,1,573,0,1.991273047289218
189,Djiamgone_Jocelin Ta Bi,MID,4.9,56,0.0,Jocelin.T,7.11,0.2381198844927192,3.0,1,800,0,0.4403747391395766
190,Dominic_Calvert-Lewin,FWD,5.8,2,0.135,Calvert-Lewin,3.46,0.5972078111179726,2.62,1,691,0,5.093290920163634
191,Dominic_Sadi,MID,4.5,91,0.0,Sadi,0.0,0.1296702596397283,3.0,1,94,0,0.0
192,Dominic_Solanke-Mitchell,FWD,7.1,6,0.011000000000000001,Solanke,6.41,0.3068304363019338,2.34,1,596,0,1.0284706631332052
193,Dominik_Szoboszlai,MID,7.0,14,0.135,Szoboszlai,9.42,0.4613624644045916,2.67,1,387,0,4.882418332151581
194,Donyell_Malen,MID,5.1,7,0.004,Malen,2.25,0.2666203761823419,1.55,1,53,0,0.0
195,Douglas_Luiz Soares de Paulo,MID,4.9,7,0.001,Douglas Luiz,10.27,0.1902842909091545,1.1,1,699,0,0.7515258586074488
196,Dwight_McNeil,MID,5.5,11,0.001,McNeil,8.6,0.2884084624541255,1.36,1,300,0,1.4571388483123486
197,Dário_Luís Essugo,MID,4.3,8,0.001,D.Essugo,27.69,0.1558715055035259,3.0,1,247,0,0.2705056329501698
