,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
99,3,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.039756546385852645,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
100,4,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.030723899132778985,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
101,5,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.02372282516517086,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
102,6,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.02515030201376128,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
103,7,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.028973682128624403,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
104,8,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.033588064400416756,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
105,2,Alex_Palmer,GKP,40,75.97921561617383,5.413411912374732e-05,0.0016760569567243,0.0,,1.0,0.9279798082832972,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
106,3,Alex_Palmer,GKP,40,75.97921561617383,5.415872358600439e-05,0.001677154645629,0.0,,1.0,0.7032950479179891,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
107,4,Alex_Palmer,GKP,40,75.97921561617383,5.418332537485555e-05,0.001678253345896,0.0,,1.0,0.6296562886168837,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
108,5,Alex_Palmer,GKP,40,75.97921561617383,5.419502883429732e-05,0.0016787992447895,0.0,,1.0,0.7364116736057853,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
109,6,Alex_Palmer,GKP,40,75.97921561617383,5.41936608794319e-05,0.0016787852094313,0.0,,1.0,0.6195560072132301,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
110,7,Alex_Palmer,GKP,40,75.97921561617383,5.419229315076983e-05,0.0016787711810407,0.0,,1.0,0.7704451121842862,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
111,8,Alex_Palmer,GKP,40,75.97921561617383,5.419093508642388e-05,0.0016787582099378,0.0,,1.0,0.6924623303142076,0.0,0.0,0.15,0,0,4.0,1,40,4.7,Palmer
112,2,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.4968152855686042,6.5440000000000005,0.0,0.1125674588491821,0.1008527564114192,0.15,5,3,1.0,2,60,1.5,Scott
113,3,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.5296294069639763,6.5440000000000005,0.0,0.0868115421288974,0.1505039488203032,0.15,5,3,1.0,2,60,1.5,Scott
114,4,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.5220692938145224,6.5440000000000005,0.0,0.0799410827800721,0.11894441711009,0.15,5,3,1.0,2,60,1.5,Scott
115,5,Alex_Scott,MID,91,90.0,0.07526034409242316,0.08576008232503231,0.0,0.4822933200928957,6.5440000000000005,0.0,0.0746710624183,0.1250281268953073,0.15,5,3,1.0,2,60,1.5,Scott
