opponent,pos_group,Threat,Goal_Threat,Assist_Threat,Understat_XG_Against,Understat_XA_Against,N_players_avg,Rolling_Goals_Against_Per_Position_20,npxG_ewm,xA_ewm
Man City,RW,0.09316807534900529,0.09316807534900529,0.12998639728087752,0.10161203234077798,0.10964405144042805,1.061511708978491,0.05,0.10161203234077798,0.10964405144042805
Man Utd,AMC,0.17182534733272423,0.17182534733272423,0.18648707445305837,0.1975847886860028,0.17152494407053392,1.2371631396608822,0.25,0.1975847886860028,0.17152494407053392
Man Utd,CB,0.06508868790668419,0.06508868790668419,0.01914240848427055,0.07484655113769752,0.017606585090519513,2.2180608042193946,0.2,0.07484655113769752,0.017606585090519513
Man Utd,DL,0.02715755009202314,0.02715755009202314,0.09246786665027294,0.031228912843524255,0.0850490346423553,1.0,0.05,0.031228912843524255,0.0850490346423553
Man Utd,DM,0.09384803630898916,0.09384803630898916,0.07048559575648025,0.10791739816362021,0.06483043345157835,1.9482779141083197,0.25,0.10791739816362021,0.06483043345157835
Man Utd,DR,0.02158868798842251,0.02158868798842251,0.09266531926232645,0.024825186856398822,0.08523064534292739,1.0,0.0,0.024825186856398822,0.08523064534292739
Man Utd,FW,0.14371103329419657,0.14371103329419657,0.1054896544542352,0.16525567726801316,0.09702606539005577,1.1500037529464189,0.2,0.16525567726801316,0.09702606539005577
Man Utd,LW,0.15108646899398928,0.15108646899398928,0.08923581200161286,0.17373681190171109,0.08207629245917587,1.0000000000908513,0.2,0.17373681190171109,0.08207629245917587
Man Utd,MC,0.10861296051351525,0.10861296051351525,0.13229203650095606,0.10019194148583786,0.11010781709481623,2.4130381910499503,0.2,0.10019194148583786,0.11010781709481623
Man Utd,RW,0.09511035523710577,0.09511035523710577,0.19381801358933595,0.10936895942939373,0.178267711251704,1.0,0.0,0.10936895942939373,0.178267711251704
Newcastle,AMC,0.11993969975926017,0.11993969975926017,0.19272123531724597,0.16605799128963972,0.22994543356239244,1.1784809753128302,0.15,0.16605799128963972,0.22994543356239244
Newcastle,CB,0.07902436502052525,0.07902436502052525,0.04377597837105908,0.06977121382660972,0.0250272242443763,2.252689569913053,0.15,0.06977121382660972,0.0250272242443763
Newcastle,DL,0.03615109506900931,0.03615109506900931,0.18667666836380034,0.031918077209109094,0.10672517243892425,1.0,0.05,0.031918077209109094,0.10672517243892425
Newcastle,DM,0.060999712146553885,0.060999712146553885,0.10951975468577019,0.08445485263540449,0.13067354738262563,1.8601290117929108,0.2,0.08445485263540449,0.13067354738262563
Newcastle,DR,0.043763732154540366,0.043763732154540366,0.09379188571486727,0.03863933247944263,0.05362188678439142,1.0,0.1,0.03863933247944263,0.05362188678439142
Newcastle,FW,0.40737784851130826,0.40737784851130826,0.2166666271843837,0.3596770055580231,0.12387077266104425,1.0905809083864662,0.4,0.3596770055580231,0.12387077266104425
Newcastle,LW,0.1799495991900624,0.1799495991900624,0.1076236055420835,0.24914243603123945,0.12841115613017096,1.0,0.3,0.24914243603123945,0.12841115613017096
Newcastle,MC,0.12415810589529634,0.12415810589529634,0.16036286036679484,0.10962013744087147,0.0916812694133347,2.3984684986323233,0.25,0.10962013744087147,0.0916812694133347
Newcastle,RW,0.11360924599872506,0.11360924599872506,0.17102009276648017,0.15729340010309856,0.20405270500852674,1.0,0.1,0.15729340010309856,0.20405270500852674
Nott'm Forest,AMC,0.12852189932690825,0.12852189932690825,0.14571506205248008,0.16393670982289907,0.15874689242108833,1.1483202612771037,0.1,0.16393670982289907,0.15874689242108833
Nott'm Forest,CB,0.036375590013762296,0.036375590013762296,0.02216057361698566,0.046399053981879476,0.02414247467909825,2.1530043070349407,0.0,0.046399053981879476,0.02414247467909825
Nott'm Forest,DL,0.0131737833494145,0.0131737833494145,0.1294411315314237,0.016803880969183137,0.14101752483680957,1.0,0.05,0.016803880969183137,0.14101752483680957
Nott'm Forest,DM,0.07447841533928488,0.07447841533928488,0.08042486960391998,0.09500129104448572,0.08761755952445989,1.9321199963726876,0.15,0.09500129104448572,0.08761755952445989
